IRBT,"Irobot Corp.",NASDAQ,True,32.27
BXMT,"Blackstone Mortgage Trust Inc. Cl A",NYSE,False,25.30
AGO,"Assured Guaranty Ltd",NYSE,True,21.26
CTS,"Cts Corp.",NYSE,True,14.00
TGB,"Taseko Mines Limited",AMEX,True,2.22
HF,"Hff Inc.",NYSE,True,21.78
JBT,"John Bean Technologies Corp.",NYSE,True,21.77
MIDD,"The Middleby Corp.",NASDAQ,True,191.37
GSM,"Globe Specialty Metals Inc.",NASDAQ,False,12.75
HTLF,"Heartland Financial USA",NASDAQ,True,26.50
TSM,"Taiwan Semiconductor Manufacturing",NYSE,True,16.00
TBAC,"Tandy Brands Accessories",NASDAQ,True,0.63
MRC,"Mrc Global Inc.",NYSE,False,25.13
LVNTA,"Liberty Interactive Corporation",NASDAQ,False,83.07
GFY,"Western Asset Variable Rate Strategic",NYSE,False,16.78
IKNX,"Ikonics Corp.",NASDAQ,False,18.05
BGS,"B&G Foods Holdings",NYSE,True,34.09
CGEN,"Compugen Ltd",NASDAQ,True,8.45
FFIV,"F5 Networks",NASDAQ,True,89.23
TILE,"Interface",NASDAQ,True,18.01
WTM,"White Mountains Insurance Group",NYSE,True,566.26
SWFT,"Swift Transportation Company",NYSE,False,17.50
DLTR,"Dollar Tree",NASDAQ,True,51.28
NSC,"Norfolk Souther Corp.",NYSE,True,73.55
WRLD,"World Acceptance Corp.",NASDAQ,True,85.79
MQT,"Blackrock Muniyield Quality Fund II",NYSE,True,11.41
GHM,"Graham Corp.",AMEX,True,33.05
JE,"Just Energy Group Inc",NYSE,True,6.23
HEI,"Heico Corp.",NYSE,True,58.26
GILD,"Gilead Sciences",NASDAQ,True,56.89
ICGE,"Internet Capital Group",NASDAQ,True,12.35
CIB,"Bancolombia S.A.",NYSE,True,58.88
LOAN,"Manhattan Bridge Capital Inc",NASDAQ,False,1.70
WLK,"Westlake Chemical Corp.",NYSE,True,101.51
HLIT,"Harmonic Inc.",NASDAQ,True,7.60
SYNL,"Synalloy Corp.",NASDAQ,True,15.61
QRE,"Qr Energy Lp",NYSE,False,16.69
INTX,"Intersections",NASDAQ,False,9.81
CSCD,"Cascade Microtech",NASDAQ,False,7.61
NQ,"Netqin Mobile Inc.",NYSE,True,17.70
JCOM,"J2 Global Communications Inc",NASDAQ,True,50.88
TMK,"Torchmark Corp.",NYSE,True,70.41
HCBK,"Hudson City Bancorp",NASDAQ,True,9.50
HSNI,"Hsn",NASDAQ,False,57.56
RPXC,"Rpx Corporation",NASDAQ,True,15.84
BBBY,"Bed Bath & Beyond Inc.",NASDAQ,True,73.76
NRGM,"Inergy Midstream L.P.",NYSE,False,23.44
HW,"Headwaters Inc.",NYSE,True,8.97
DIN,"Dineequity Inc",NYSE,True,68.31
VLY,"Valley National Bancorp",NYSE,True,10.51
CUNB,"California United Bk",NASDAQ,False,17.50
PIM,"Putnam Master Intermediate Income",NYSE,True,5.00
ORM,"Owens Realty Mortgage Inc. Com",AMEX,False,11.05
LOJN,"Lojack Corp.",NASDAQ,True,3.10
GTU,"Central Gold Trust",AMEX,False,48.67
ADP,"Automatic Data Processing",NASDAQ,True,71.61
GIGA,"Giga-Tronics Inc.",NASDAQ,False,1.40
CHLN,"China Housing & Land Development",NASDAQ,True,2.35
STP,"Suntech Power Holdings Co.",NYSE,True,1.08
HCI,"Homeowners Choice",NYSE,False,33.23
AVT,"Avnet",NYSE,True,38.57
TD,"Toronto Dominion Bank",NYSE,True,84.20
NCP,"Nuveen California Performance Plus Fund",NYSE,True,12.76
ACAS,"American Capital",NASDAQ,True,12.90
ARTX,"Arotech Corp.",NASDAQ,True,2.10
WABC,"Westamerica Bancorporation",NASDAQ,True,49.25
WFC,"Wells Fargo & Company",NYSE,True,42.99
